,Unnamed: 0,construction_id,station_name_tw,station_name_en,address,lat
137,137,A3,新北產業園區,New Taipei Industrial Park,新北市新莊區五工路37號,25.061716
138,138,A4,新莊副都心,Xinzhuang Fuduxin,新北市新莊區新北大道四段188號,25.0591305
139,139,A5,泰山,Taishan,新北市泰山區新北大道四段431號,25.0532726
140,140,A6,泰山貴和,Taishan Guihe,新北市泰山區新北大道六段460號,25.0334752
141,141,A7,體育大學,National Taiwan Sport University,桃園市龜山區文化一路688號,25.041246
142,142,A8,長庚醫院,Chang Gung Memorial Hospital,桃園市龜山區文化一路6號,25.0604363
143,143,A9,林口,Linkou,新北市林口區八德路290號,25.0665023
144,144,A10,山鼻,Shanbi,桃園市蘆竹區南山路三段155號,25.0803514
145,145,A11,坑口,Kengkou,桃園市蘆竹區坑菓路460號,25.086516
146,146,A12,機場第一航廈,Airport Terminal 1,桃園市大園區航站南路17之1號B1,25.081385
147,147,A13,機場第二航廈,Airport Terminal 2,桃園市大園區航站南路9之1號B2,25.0772703
148,148,A14a,機場旅館,Airport Hotel,桃園市大園區航站南路1之2號,25.0692598
149,149,A15,大園,Dayuan,桃園市大園區橫湳一路50號,25.0560465
150,150,A16,橫山,Hengshan,桃園市大園區大竹南路1180號,25.0460284
151,151,A17,領航,Linghang,桃園市大園區領航北路四段351號,25.0189695
152,152,A18,高鐵桃園站,Taoyuan HSR Station,桃園市中壢區高鐵北路一段5號,25.013762
153,153,A19,桃園體育園區,Taoyuan Sports Park,桃園市中壢區高鐵南路二段350號,25.001996
154,154,A20,興南,Xingnan,桃園市中壢區中豐北路一段685號,24.9802492
155,155,A21,環北,Huanbei,桃園市中壢區中豐北路一段26號,24.967381
